school_id,posting_url,job_title_in_post,position_type,job_term,department_or_school,area_key_words,deadline_of_application,position_start_date
383,https://hr.uic.edu/prospective_employees/career-opportunities/,Career Opportunities,Unclassified,Full-time,College of Medicine is the largest in the nation and educates one in six Illinois physicians,,,
383,http://www.uic.edu/depts/st_empl/,Student Employment,Unclassified,Part-time,,,,
383,https://nessie.uihr.uillinois.edu/cf/index.cfm,Welcome,Unclassified,Full-time,,,,
383,https://faculty.uic.edu/hr/,Policies,Non-academic,Full-time,,Evaluation Special Amendment,,
